Broad_ID,Name,SMILES,Mean_Inhibition,ClinTox (low = less predicted toxicity)
BRD-K31144453-001-02-2,AC-261066,CCCCOCCOc1nc(sc1C)-c1ccc(C(O)=O)c(F)c1,0.8521,0.012827914
BRD-K15514357-001-05-6,cefalonium,NC(=O)c1cc[n+](CC2=C(N3[C@H](SC2)[C@H](NC(=O)Cc2cccs2)C3=O)C(O)=O)cc1,0.85325,1.49E-05
BRD-K33622447-066-01-9,abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(n3)-c3cc(F)c4nc(C)n(C(C)C)c4c3)nc2)CC1,0.79645,0.950358272
BRD-A96510685-213-03-7,piroctone-olamine,CC(Cc1cc(C)cc(=O)n1O)CC(C)(C)C,0.7171,0.01548755
BRD-A56621826-001-02-1,oxytetracycline,CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(C(=O)c4c(O)cccc4C3(C)O)C(=O)[C@]2(O)C(=O)C(C(N)=O)C1=O,0.04495,0.165845051
BRD-K30930903-001-01-3,WIN-18446,ClC(Cl)C(=O)NCCCCCCCCNC(=O)C(Cl)Cl,0.8507,0.001761103
BRD-K77038618-356-01-3,garenoxacin,C[C@H]1NCc2cc(ccc12)-c1ccc2c(c1OC(F)F)n(cc(C(O)=O)c2=O)C1CC1,0.0412,0.958474696
BRD-K16136380-001-02-5,pyrithione-zinc,O1[n+]2ccccc2S[Zn]11O[n+]2ccccc2S1,0.0437,2.61E-07
BRD-K48988407-001-01-2,cytochlor,Nc1nc(=O)n(cc1Cl)[C@H]1C[C@@H](O)[C@@H](CO)O1,0.72765,0.220411837
BRD-K79254416-001-21-8,decitabine,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,0.9329,0.291253358
BRD-K82823076-001-02-6,Ro-15-4513,CCOC(=O)c1ncn-2c1CN(C)C(=O)c1cc(ccc-21)N=[N+]=[N-],0.7305,6.28E-07
BRD-K17555800-001-01-9,talmapimod,C[C@H]1CN([C@H](C)CN1Cc1ccc(F)cc1)C(=O)c1cc2c(cn(C)c2cc1Cl)C(=O)C(=O)N(C)C,0.7509,0.758746505
BRD-K44731351-001-01-6,AL-8697,Cc1c(F)cc(cc1-c1c(F)cn2c(nnc2c1F)C(C)(C)C)C(=O)NC1CC1,0.76115,0.014780776
BRD-K32730239-001-02-8,SU3327,Nc1nnc(Sc2ncc(s2)[N+]([O-])=O)s1,0.05,3.01E-06
BRD-A72591750-066-01-1,omadacycline,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(CNCC(C)(C)C)c(O)c4C(=O)C3C(=O)[C@]2(O)C(=O)C(C(N)=O)C1=O)N(C)C,0.0456,0.996938229
BRD-K26824830-001-03-8,azomycin-(2-nitroimidazole),[O-][N+](=O)c1ncc[nH]1,0.69255,4.25E-10
BRD-K04254814-001-01-8,sulfanilate-zinc,Nc1ccc(cc1)S(=O)(=O)O[Zn]OS(=O)(=O)c1ccc(N)cc1,0.9662,0.026382985
